,SUBJECT,SESSION,RUN,trial_in_session
6226,1,9,4,226
6230,1,9,4,230
6243,1,9,4,243
6247,1,9,4,247
6249,1,9,4,249
6258,1,9,5,258
6266,1,9,5,266
6271,1,9,5,271
6273,1,9,5,273
6281,1,9,5,281
6290,1,9,5,290
6291,1,9,5,291
6294,1,9,5,294
6298,1,9,5,298
6310,1,9,5,310
6313,1,9,6,313
6335,1,9,6,335
6355,1,9,6,355
6381,1,9,7,381
6420,1,9,7,420
6429,1,9,7,429
6440,1,9,8,440
6442,1,9,8,442
6445,1,9,8,445
6447,1,9,8,447
6458,1,9,8,458
6462,1,9,8,462
6467,1,9,8,467
6485,1,9,8,485
6486,1,9,8,486
6503,1,9,9,503
6511,1,9,9,511
6522,1,9,9,522
6540,1,9,9,540
6543,1,9,9,543
6552,1,9,9,552
6563,1,9,10,563
6570,1,9,10,570
6575,1,9,10,575
6585,1,9,10,585
6614,1,9,10,614
6635,1,9,11,635
6646,1,9,11,646
6692,1,9,12,692
6696,1,9,12,696
6700,1,9,12,700
6704,1,9,12,704
6740,1,9,12,740
6748,1,9,12,748
6756,1,10,1,6
6816,1,10,2,66
6818,1,10,2,68
6835,1,10,2,85
6858,1,10,2,108
6867,1,10,2,117
6869,1,10,2,119
6874,1,10,2,124
6882,1,10,3,132
6886,1,10,3,136
6892,1,10,3,142
6912,1,10,3,162
6915,1,10,3,165
6916,1,10,3,166
6917,1,10,3,167
6924,1,10,3,174
6927,1,10,3,177
6938,1,10,4,188
6944,1,10,4,194
6949,1,10,4,199
6952,1,10,4,202
6955,1,10,4,205
6956,1,10,4,206
6981,1,10,4,231
6982,1,10,4,232
6987,1,10,4,237
6988,1,10,4,238
6990,1,10,4,240
6997,1,10,4,247
7013,1,10,5,263
7032,1,10,5,282
7035,1,10,5,285
7045,1,10,5,295
7046,1,10,5,296
7062,1,10,5,312
7069,1,10,6,319
7086,1,10,6,336
7098,1,10,6,348
7103,1,10,6,353
7141,1,10,7,391
7145,1,10,7,395
7161,1,10,7,411
7174,1,10,7,424
7189,1,10,8,439
7218,1,10,8,468
7222,1,10,8,472
7224,1,10,8,474
7238,1,10,8,488
7244,1,10,8,494
7245,1,10,8,495
7251,1,10,9,501
7258,1,10,9,508
7266,1,10,9,516
7271,1,10,9,521
7276,1,10,9,526
7279,1,10,9,529
7306,1,10,9,556
7311,1,10,9,561
7314,1,10,10,564
7329,1,10,10,579
7335,1,10,10,585
7399,1,10,11,649
7401,1,10,11,651
7425,1,10,11,675
7429,1,10,11,679
7446,1,10,12,696
7455,1,10,12,705
7456,1,10,12,706
7461,1,10,12,711
7464,1,10,12,714
7473,1,10,12,723
7504,1,11,1,4
7513,1,11,1,13
7535,1,11,1,35
7556,1,11,1,56
7561,1,11,1,61
7575,1,11,2,75
7577,1,11,2,77
7586,1,11,2,86
7626,1,11,3,126
7629,1,11,3,129
7630,1,11,3,130
7632,1,11,3,132
7644,1,11,3,144
7655,1,11,3,155
7663,1,11,3,163
7680,1,11,3,180
7684,1,11,3,184
7688,1,11,4,188
7700,1,11,4,200
7701,1,11,4,201
7708,1,11,4,208
7709,1,11,4,209
7711,1,11,4,211
7717,1,11,4,217
7720,1,11,4,220
7736,1,11,4,236
7738,1,11,4,238
7748,1,11,4,248
7775,1,11,5,275
7783,1,11,5,283
7787,1,11,5,287
7793,1,11,5,293
7806,1,11,5,306
7813,1,11,6,313
7814,1,11,6,314
7819,1,11,6,319
7825,1,11,6,325
7826,1,11,6,326
7840,1,11,6,340
7845,1,11,6,345
7846,1,11,6,346
7865,1,11,6,365
7883,1,11,7,383
7895,1,11,7,395
7898,1,11,7,398
7901,1,11,7,401
7908,1,11,7,408
7912,1,11,7,412
7913,1,11,7,413
7934,1,11,7,434
7942,1,11,8,442
7947,1,11,8,447
7948,1,11,8,448
7950,1,11,8,450
7968,1,11,8,468
7980,1,11,8,480
7989,1,11,8,489
8006,1,11,9,506
8012,1,11,9,512
8023,1,11,9,523
8028,1,11,9,528
8032,1,11,9,532
8047,1,11,9,547
8051,1,11,9,551
8059,1,11,9,559
8065,1,11,10,565
8077,1,11,10,577
8086,1,11,10,586
8105,1,11,10,605
8124,1,11,10,624
8129,1,11,11,629
8136,1,11,11,636
8149,1,11,11,649
8165,1,11,11,665
8173,1,11,11,673
8174,1,11,11,674
8202,1,11,12,702
8214,1,11,12,714
8220,1,11,12,720
8231,1,11,12,731
8241,1,11,12,741
8242,1,11,12,742
8246,1,11,12,746
8254,1,12,1,4
8256,1,12,1,6
8261,1,12,1,11
8268,1,12,1,18
8269,1,12,1,19
8283,1,12,1,33
8287,1,12,1,37
8296,1,12,1,46
8308,1,12,1,58
8321,1,12,2,71
8329,1,12,2,79
8350,1,12,2,100
8357,1,12,2,107
8367,1,12,2,117
8368,1,12,2,118
8369,1,12,2,119
8385,1,12,3,135
8408,1,12,3,158
8415,1,12,3,165
8425,1,12,3,175
8432,1,12,3,182
8439,1,12,4,189
8441,1,12,4,191
8442,1,12,4,192
8459,1,12,4,209
8464,1,12,4,214
8466,1,12,4,216
8485,1,12,4,235
8489,1,12,4,239
8504,1,12,5,254
8506,1,12,5,256
8571,1,12,6,321
8589,1,12,6,339
8591,1,12,6,341
8599,1,12,6,349
8610,1,12,6,360
8628,1,12,7,378
8635,1,12,7,385
8637,1,12,7,387
8639,1,12,7,389
8643,1,12,7,393
8646,1,12,7,396
8648,1,12,7,398
8649,1,12,7,399
8656,1,12,7,406
8661,1,12,7,411
8664,1,12,7,414
8685,1,12,7,435
8689,1,12,8,439
8696,1,12,8,446
8700,1,12,8,450
8713,1,12,8,463
8716,1,12,8,466
8719,1,12,8,469
8728,1,12,8,478
8738,1,12,8,488
8757,1,12,9,507
8769,1,12,9,519
8784,1,12,9,534
8793,1,12,9,543
8798,1,12,9,548
8806,1,12,9,556
8822,1,12,10,572
8832,1,12,10,582
8840,1,12,10,590
8857,1,12,10,607
8867,1,12,10,617
8875,1,12,11,625
8879,1,12,11,629
8890,1,12,11,640
8895,1,12,11,645
8896,1,12,11,646
8899,1,12,11,649
8905,1,12,11,655
8930,1,12,11,680
8953,1,12,12,703
8954,1,12,12,704
8967,1,12,12,717
8982,1,12,12,732
8984,1,12,12,734
8993,1,12,12,743
9009,1,13,1,9
9012,1,13,1,12
9015,1,13,1,15
9018,1,13,1,18
9041,1,13,1,41
9097,1,13,2,97
9129,1,13,3,129
9143,1,13,3,143
9144,1,13,3,144
9147,1,13,3,147
9154,1,13,3,154
9196,1,13,4,196
9198,1,13,4,198
9204,1,13,4,204
9206,1,13,4,206
9213,1,13,4,213
9230,1,13,4,230
9238,1,13,4,238
9245,1,13,4,245
9264,1,13,5,264
9275,1,13,5,275
9300,1,13,5,300
9320,1,13,6,320
9344,1,13,6,344
9349,1,13,6,349
9375,1,13,7,375
9439,1,13,8,439
9442,1,13,8,442
9455,1,13,8,455
9457,1,13,8,457
9481,1,13,8,481
9483,1,13,8,483
9489,1,13,8,489
9499,1,13,8,499
9515,1,13,9,515
9518,1,13,9,518
9532,1,13,9,532
9538,1,13,9,538
9547,1,13,9,547
9548,1,13,9,548
9554,1,13,9,554
9581,1,13,10,581
9591,1,13,10,591
9594,1,13,10,594
9615,1,13,10,615
9620,1,13,10,620
9646,1,13,11,646
9657,1,13,11,657
9662,1,13,11,662
9670,1,13,11,670
9686,1,13,11,686
9691,1,13,12,691
9694,1,13,12,694
9715,1,13,12,715
9721,1,13,12,721
9734,1,13,12,734
9735,1,13,12,735
9739,1,13,12,739
9741,1,13,12,741
9744,1,13,12,744
9759,1,14,1,9
9762,1,14,1,12
9768,1,14,1,18
9791,1,14,1,41
9814,1,14,2,64
9818,1,14,2,68
9820,1,14,2,70
9830,1,14,2,80
9840,1,14,2,90
9847,1,14,2,97
9850,1,14,2,100
9851,1,14,2,101
9855,1,14,2,105
9859,1,14,2,109
9887,1,14,3,137
9890,1,14,3,140
9898,1,14,3,148
9928,1,14,3,178
9951,1,14,4,201
9956,1,14,4,206
9965,1,14,4,215
9973,1,14,4,223
9987,1,14,4,237
9998,1,14,4,248
10015,1,14,5,265
10023,1,14,5,273
10033,1,14,5,283
10046,1,14,5,296
10057,1,14,5,307
10085,1,14,6,335
10092,1,14,6,342
10104,1,14,6,354
10111,1,14,6,361
10132,1,14,7,382
10133,1,14,7,383
10136,1,14,7,386
10159,1,14,7,409
10166,1,14,7,416
10187,1,14,7,437
10190,1,14,8,440
10196,1,14,8,446
10197,1,14,8,447
10198,1,14,8,448
10206,1,14,8,456
10210,1,14,8,460
10217,1,14,8,467
10219,1,14,8,469
10231,1,14,8,481
10237,1,14,8,487
10240,1,14,8,490
10242,1,14,8,492
10246,1,14,8,496
10249,1,14,8,499
10262,1,14,9,512
10272,1,14,9,522
10290,1,14,9,540
10297,1,14,9,547
10299,1,14,9,549
10309,1,14,9,559
10320,1,14,10,570
10322,1,14,10,572
10334,1,14,10,584
10339,1,14,10,589
10351,1,14,10,601
10353,1,14,10,603
10365,1,14,10,615
10366,1,14,10,616
10386,1,14,11,636
10402,1,14,11,652
10403,1,14,11,653
10405,1,14,11,655
10410,1,14,11,660
10415,1,14,11,665
10419,1,14,11,669
10423,1,14,11,673
10430,1,14,11,680
